iter	Passed	Remaining
0	7	7457
1	14	7349
2	16	5481
3	23	5944
4	30	6054
5	37	6132
6	43	6180
7	45	5658
8	52	5769
9	59	5906
10	66	5952
11	70	5789
12	76	5839
13	83	5901
14	90	5951
15	97	5971
16	99	5772
17	106	5807
18	113	5855
19	120	5925
20	127	5956
21	134	5973
22	135	5746
23	142	5775
24	148	5791
25	154	5793
26	161	5813
27	168	5837
28	174	5855
29	181	5872
30	188	5884
31	194	5897
32	201	5896
33	207	5895
34	214	5906
35	220	5907
36	223	5805
37	229	5819
38	236	5824
39	242	5830
40	250	5848
41	257	5865
42	258	5742
43	264	5753
44	265	5632
45	272	5647
46	273	5549
47	281	5578
48	288	5596
49	291	5530
50	291	5430
51	299	5458
52	306	5478
53	308	5402
54	315	5420
55	321	5425
56	328	5439
57	335	5456
58	337	5381
59	344	5404
60	351	5417
61	358	5425
62	362	5396
63	366	5364
64	374	5385
65	380	5390
66	387	5397
67	389	5336
68	396	5346
69	403	5354
70	409	5359
71	416	5370
72	423	5374
73	429	5379
74	436	5387
75	444	5399
76	450	5403
77	457	5406
78	458	5347
79	465	5352
80	472	5359
81	479	5362
82	486	5371
83	493	5377
84	497	5351
85	503	5351
86	510	5356
87	517	5358
88	523	5357
89	530	5359
90	536	5359
91	544	5373
92	551	5375
93	558	5380
94	564	5381
95	571	5383
96	578	5388
97	585	5390
98	592	5392
99	599	5395
100	600	5344
101	607	5348
102	614	5349
103	615	5300
104	622	5304
105	628	5301
106	635	5305
107	642	5306
108	644	5265
109	650	5265
110	657	5263
111	663	5264
112	671	5268
113	678	5273
114	685	5275
115	686	5231
116	693	5231
117	700	5232
118	702	5201
119	707	5189
120	714	5190
121	720	5187
122	727	5187
123	734	5186
124	740	5186
125	747	5186
126	754	5185
127	761	5186
128	768	5186
129	775	5188
130	776	5153
131	784	5158
132	790	5156
133	797	5154
134	804	5152
135	810	5151
136	817	5149
137	825	5156
138	832	5157
139	839	5157
140	846	5154
141	847	5120
142	854	5120
143	861	5118
144	862	5085
145	869	5086
146	876	5085
147	883	5085
148	890	5084
149	897	5083
150	904	5084
151	912	5088
152	919	5089
153	926	5087
154	933	5087
155	939	5084
156	946	5081
157	953	5079
158	959	5076
159	966	5076
160	971	5061
161	978	5059
162	984	5056
163	991	5056
164	998	5052
165	1005	5051
166	1012	5050
167	1019	5050
168	1026	5047
169	1033	5046
170	1040	5043
171	1047	5041
172	1054	5041
173	1061	5036
174	1063	5015
175	1070	5013
176	1077	5011
177	1081	4995
178	1088	4992
179	1095	4989
180	1102	4989
181	1109	4987
182	1113	4972
183	1120	4969
184	1127	4966
185	1134	4964
186	1141	4961
187	1147	4957
188	1151	4941
189	1158	4936
190	1164	4933
191	1171	4929
192	1178	4929
193	1185	4926
194	1192	4923
195	1199	4920
196	1206	4919
197	1214	4917
198	1220	4914
199	1227	4911
200	1234	4909
201	1241	4905
202	1249	4903
203	1255	4900
204	1263	4899
205	1270	4898
206	1277	4894
207	1285	4892
208	1292	4890
209	1299	4886
210	1306	4884
211	1313	4882
212	1320	4879
213	1327	4876
214	1331	4862
215	1333	4839
216	1340	4837
217	1347	4833
218	1349	4813
219	1357	4812
220	1364	4809
221	1364	4783
222	1371	4778
223	1378	4776
224	1385	4773
225	1392	4770
226	1400	4768
227	1406	4763
228	1407	4739
229	1414	4737
230	1422	4735
231	1429	4731
232	1436	4728
233	1444	4727
234	1450	4722
235	1457	4718
236	1464	4715
237	1471	4712
238	1478	4707
239	1485	4703
240	1491	4698
241	1492	4674
242	1495	4657
243	1502	4655
244	1503	4633
245	1510	4628
246	1516	4624
247	1524	4621
248	1530	4615
249	1537	4612
250	1544	4607
251	1550	4602
252	1557	4599
253	1564	4595
254	1571	4591
255	1578	4587
256	1585	4584
257	1593	4582
258	1600	4579
259	1608	4576
260	1614	4572
261	1622	4568
262	1628	4564
263	1636	4561
264	1643	4559
265	1652	4559
266	1660	4558
267	1667	4553
268	1673	4548
269	1681	4545
270	1688	4541
271	1695	4538
272	1702	4534
273	1710	4531
274	1716	4526
275	1724	4522
276	1731	4518
277	1738	4514
278	1745	4510
279	1752	4506
280	1759	4502
281	1764	4492
282	1771	4487
283	1779	4485
284	1786	4481
285	1793	4477
286	1800	4473
287	1808	4470
288	1814	4465
289	1822	4460
